site,transition_obs,logit_obs,transition_pred,logit_pred,state_start,state_end,year_end,year_start,density_end,prop_exposed_end,density_start,prop_exposed_start,den_exposed_start,ln_den_exp_start,ln_den_exp_end,den_conceiled_start,ln_den_conceiled_start,ln_prop_exp_start,ln_den_start
REF_065,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,19.1875,1,14.8125,0.888252169,13.15723526,2.650225819,0.693147181,1.655264743,0.976544365,0.635651623,2.760800766
REF_066,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,31.9375,0.985885881,9.875,0.466254059,4.604258828,1.723526814,0.686065102,5.270741172,1.835894557,0.382710889,2.386466577
REF_067,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,40.25,0.996323529,15.75,0.675006085,10.63134584,2.453703681,0.691307254,5.118654163,1.811342164,0.515816798,2.818398258
REF_068,PERSIST,0,BARREN,1,FOR,BAR,2019,2018,54.3125,0.984247539,13.75,0.131768217,1.811812985,1.033829466,0.685239769,11.93818701,2.560183172,0.123781204,2.691243083
REF_069,FOREST,1,FOREST,1,BAR,FOR,2019,2018,1.625,0.125,4.875,0.4453125,2.170898438,1.154014967,0.117783036,2.704101563,1.309440736,0.368325561,1.77070606
REF_070,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,3.8125,0.84672619,12.375,0.907291667,11.22773438,2.503706681,0.613414445,1.147265625,0.76419523,0.64568426,2.593387293
REF_071,PERSIST,0,PERSIST,0,FOR,FOR,2019,2018,8.5,0.030848043,5.3125,0.123048744,0.653696453,0.503013057,0.030381806,4.658803547,1.733212482,0.11604708,1.842531795
REF_072,PERSIST,0,PERSIST,0,FOR,FOR,2019,2018,8.625,0.04928003,0,0,0,0,0.048104244,0,0,0,0
REF_073,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,0.875,0.302083333,2.5625,0.338690476,0.867894345,0.624811778,0.263965546,1.694605655,0.991251869,0.29169188,1.270462546
REF_075,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,21.8125,0.927083333,23.1875,0.969417109,22.47835921,3.156079112,0.656007634,0.709140787,0.53599078,0.677737615,3.185835971
REF_076,PERSIST,0,PERSIST,0,FOR,FOR,2019,2018,4.5,0.02827381,1.875,0,0,0,0.027881483,1.875,1.056052674,0,1.056052674
REF_082,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,16.5625,1,30.25,0.964183059,29.16653752,3.406733281,0.693147181,1.083462475,0.734031161,0.675076413,3.442019376
REF_083,FOREST,1,FOREST,1,BAR,FOR,2019,2018,0.4375,0.0625,0.25,0,0,0,0.060624622,0.25,0.223143551,0,0.223143551
REF_084,PERSIST,0,PERSIST,0,FOR,FOR,2019,2018,2.875,0.025,1.75,0.041666667,0.072916667,0.070380797,0.024692613,1.677083333,0.984727893,0.040821995,1.011600912
REF_085,FOREST,1,PERSIST,0,BAR,BAR,2019,2018,2,0.40922619,3.75,0.825,3.09375,1.40946142,0.343040753,0.65625,0.504556011,0.601579987,1.558144618
REF_087,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,46.75,0.998214286,38.5625,0.992486934,38.27277739,3.670531591,0.692253925,0.289722615,0.254427168,0.689383574,3.6778817
REF_090,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,36.1875,0.982556267,33.8125,1,33.8125,3.549976518,0.684387056,0,0,0.693147181,3.549976518
REF_091,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,5.6875,0.770890568,8.9375,0.64243052,5.741722774,1.908315497,0.571482566,3.195777226,1.434078597,0.496177169,2.29631548
REF_092,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,1.25,0.385416667,7.3125,0.844724026,6.177044439,1.97088766,0.326000937,1.135455561,0.758680001,0.612329687,2.117760406
REF_094,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,31.5625,0.987700321,41.3125,0.989179816,40.86549115,3.734461887,0.686978353,0.447008849,0.369498563,0.687722401,3.745082551
REF_095,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,25.875,0.970357143,21.8125,0.956993332,20.87441706,3.085317783,0.678214817,0.938082944,0.661699312,0.671409281,3.127308631
REF_096,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,37.3125,0.582230999,31.125,0.811271825,25.25083556,3.267697819,0.458835876,5.874164445,1.927770101,0.594029264,3.469634543
REF_097,PERSIST,0,PERSIST,0,FOR,FOR,2019,2018,6.875,0.125830853,4,0.157891414,0.631565657,0.489540079,0.118521299,3.368434344,1.474404671,0.146600605,1.609437912
REF_099,FOREST,1,FOREST,1,BAR,FOR,2019,2018,2.5625,0.227083333,18.3125,0.927010242,16.97587505,2.889030584,0.20464008,1.336624946,0.848707557,0.655969704,2.960752555
REF_100,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,0.8125,0.171875,0.1875,0.0625,0.01171875,0.011650617,0.15860503,0.17578125,0.16193282,0.060624622,0.171850257
REF_101F,PERSIST,0,BARREN,1,FOR,BAR,2019,2018,40.625,0.716664151,11.1875,0.297691175,3.330420024,1.46566454,0.54038296,7.857079976,2.181217137,0.260586666,2.500410836
REF_101M,BARREN,1,PERSIST,0,FOR,FOR,2019,2018,14.125,0.320846051,14.875,0.338017827,5.028015179,1.796417799,0.278272479,9.846984821,2.383887145,0.291189285,2.764745545
REF_102,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,25.3125,0.939292279,26.9375,0.881456713,23.74424021,3.208592743,0.662323102,3.193259787,1.433478424,0.632046324,3.329969872
REF_X,PERSIST,0,PERSIST,0,FOR,FOR,2019,2018,5.625,0.447028186,2.6875,0.166666667,0.447916667,0.370125742,0.369511927,2.239583333,1.175444721,0.15415068,1.304948722
