site,state_ending_obs,logit_obs,state_ending_lda,logit_lda,start_state,end_state,year_end,year_start,den_end,prop_exposed_end,den_start,prop_exposed_start,den_exposed_start,den_con_start
REF_047,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,31.5625,0.987417328,37.25,0.941873118,35.08477366,2.165226338
REF_048,PERSIST,0,PERSIST,0,FOR,FOR,2019,2018,13,0.294338474,7.5,0.208406008,1.563045058,5.936954942
REF_050,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,8.375,0.808522727,15.375,0.971543576,14.93748247,0.437517527
REF_051,FOREST,1,FOREST,1,BAR,FOR,2019,2018,2.375,0.077369506,10.8125,0.822136492,8.889350821,1.923149179
REF_054,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,7.6875,0.878835227,15.125,0.907403165,13.72447287,1.400527133
REF_056,PERSIST,0,PERSIST,0,FOR,FOR,2019,2018,2.6875,0.03671875,4.3125,0.085611264,0.369198575,3.943301425
REF_058,FOREST,1,FOREST,1,BAR,FOR,2019,2018,0.8125,0.00625,1.5,0.166666667,0.25,1.25
REF_060,PERSIST,0,PERSIST,0,FOR,FOR,2019,2018,14.75,0.2056023,3.5625,0.269791667,0.961132813,2.601367187
REF_061,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,9.8125,0.952901786,26.5,0.960676894,25.45793769,1.042062314
REF_063,PERSIST,0,PERSIST,0,FOR,FOR,2019,2018,2.0625,0,3.4375,0.062009804,0.213158701,3.224341299
REF_065,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,19.1875,1,14.8125,0.888252169,13.15723526,1.655264743
REF_066,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,31.9375,0.985885881,9.875,0.466254059,4.604258828,5.270741172
REF_067,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,40.25,0.996323529,15.75,0.675006085,10.63134584,5.118654163
REF_068,PERSIST,0,BARREN,1,FOR,BAR,2019,2018,54.3125,0.984247539,13.75,0.131768217,1.811812985,11.93818701
REF_069,FOREST,1,FOREST,1,BAR,FOR,2019,2018,1.625,0.125,4.875,0.4453125,2.170898438,2.704101563
REF_070,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,3.8125,0.84672619,12.375,0.907291667,11.22773438,1.147265625
REF_071,PERSIST,0,PERSIST,0,FOR,FOR,2019,2018,8.5,0.030848043,5.3125,0.123048744,0.653696453,4.658803547
REF_072,PERSIST,0,PERSIST,0,FOR,FOR,2019,2018,8.625,0.04928003,0,0,0,0
REF_073,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,0.875,0.302083333,2.5625,0.338690476,0.867894345,1.694605655
REF_075,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,21.8125,0.927083333,23.1875,0.969417109,22.47835921,0.709140787
REF_076,PERSIST,0,PERSIST,0,FOR,FOR,2019,2018,4.5,0.02827381,1.875,0,0,1.875
REF_082,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,16.5625,1,30.25,0.964183059,29.16653752,1.083462475
REF_083,FOREST,1,FOREST,1,BAR,FOR,2019,2018,0.4375,0.0625,0.25,0,0,0.25
REF_084,PERSIST,0,PERSIST,0,FOR,FOR,2019,2018,2.875,0.025,1.75,0.041666667,0.072916667,1.677083333
REF_085,FOREST,1,PERSIST,0,BAR,BAR,2019,2018,2,0.40922619,3.75,0.825,3.09375,0.65625
REF_087,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,46.75,0.998214286,38.5625,0.992486934,38.27277739,0.289722615
REF_090,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,36.1875,0.982556267,33.8125,1,33.8125,0
REF_091,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,5.6875,0.770890568,8.9375,0.64243052,5.741722774,3.195777226
REF_092,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,1.25,0.385416667,7.3125,0.844724026,6.177044439,1.135455561
REF_094,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,31.5625,0.987700321,41.3125,0.989179816,40.86549115,0.447008849
REF_095,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,25.875,0.970357143,21.8125,0.956993332,20.87441706,0.938082944
REF_096,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,37.3125,0.582230999,31.125,0.811271825,25.25083556,5.874164445
REF_097,PERSIST,0,PERSIST,0,FOR,FOR,2019,2018,6.875,0.125830853,4,0.157891414,0.631565657,3.368434344
REF_099,FOREST,1,FOREST,1,BAR,FOR,2019,2018,2.5625,0.227083333,18.3125,0.927010242,16.97587505,1.336624946
REF_100,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,0.8125,0.171875,0.1875,0.0625,0.01171875,0.17578125
REF_101F,PERSIST,0,BARREN,1,FOR,BAR,2019,2018,40.625,0.716664151,11.1875,0.297691175,3.330420024,7.857079976
REF_101M,BARREN,1,PERSIST,0,FOR,FOR,2019,2018,14.125,0.320846051,14.875,0.338017827,5.028015179,9.846984821
REF_102,PERSIST,0,PERSIST,0,BAR,BAR,2019,2018,25.3125,0.939292279,26.9375,0.881456713,23.74424021,3.193259787
REF_X,PERSIST,0,PERSIST,0,FOR,FOR,2019,2018,5.625,0.447028186,2.6875,0.166666667,0.447916667,2.239583333
